Clase,Num_fuentes,Calidad_media,Calidad_minima,Calidad_maxima,Valores_individuales
brain,7,0.9738946146153057,0.8811829253239322,0.9966863355860908,"[np.float64(0.9966863355860908), np.float64(0.996235012152037), np.float64(0.9943351812738346), np.float64(0.9925673629631987), np.float64(0.9880925470347145), np.float64(0.9681629379733314), np.float64(0.8811829253239322)]"
muscle,0,,,,[]
eog,1,0.8649941708945963,0.8649941708945963,0.8649941708945963,[np.float64(0.8649941708945963)]
ecg,0,,,,[]
line_noise,0,,,,[]
ch_noise,0,,,,[]
other,0,,,,[]
